"resource","consumer","res.n","res.m","res.phylum","res.class","res.order","res.family","res.genus","con.n","con.m","con.phylum","con.class","con.order","con.family","con.genus","res.method","con.method","N.records","linkevidence","source.id"
"Chironomidae","Acari",3488,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,2368,0.1,"Arthropoda","Arachnida",,,,"exact","exact",1,"@article{Schneider_1997, doi = {10.1007/s004420050197}, url = {https://doi.org/10.1007%2Fs004420050197}, year = 1997, month = {may},	publisher = {Springer Nature}, volume = {110}, number = {4}, pages = {567--575}, author = {Daniel W. Schneider}, title = {Predation and food web structure along a habitat duration gradient}, journal = {Oecologia}},@article{Warren_1989, doi = {10.2307/3565588}, url = {https://doi.org/10.2307%2F3565588}, year = 1989, month = {jul}, publisher = {{JSTOR}}, volume = {55}, number = {3},	pages = {299}, author = {Philip H. Warren}, title = {Spatial and Temporal Variation in the Structure of a Freshwater Food Web}, journal = {Oikos}},from Brose et al 2005 (Harper-Smith et al., in press),from Brose et al 2005 (Warren, unpublished),Harper-Smith, S., E. L. Berlow, R. A. Knapp, R. J. Williams, and N. D. Martinez. In press. Communicating ecology through food webs: Visualizing and quantifying the effects of stocking alpine lakes with fish. in P. De Ruiter, J. C. Moore, and V. Wolters, editors. Dynamic Food Webs: Multispecies assemblages, ecosystem development, and environmental change. Elsevier/Academic Press.,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,Schneider, D.W. (1997). Predation and Food Web Structure along a Habitat Duration Gradient. Oecologia. 110, pp. 567-575. ,source,Warren PH (1989) Spatial and temporal variation in the structure of a freshwater food web. Oikos 55:299-311,Warren, P. H. (1989). Spatial and temporal variation in the structure of a freshwater food web. Oikos, 55, 299�311.,Warren, P. H. 1989. Spatial and Temporal Variation in the Structure of a Fresh-Water Food Web. Oikos 55:299–311.,Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos. 55, pp. 299-311.,Warren, unpublished,Woodward, G., Speirs, D. C., & Hildrew, A. G. (2005). Quantification and resolution of a complex, size-structured food web. Advances in Ecological Research, 36, 85�135. Retrieved from <Go to ISI>://WOS:000229213700002",",10,11,15,23,28,46,47,59,Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 .,https://mangal.io - the ecological interaction database."
"Chironomidae","Chironomidae",3488,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,3488,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"exact","exact",1,"@article{Schneider_1997, doi = {10.1007/s004420050197}, url = {https://doi.org/10.1007%2Fs004420050197}, year = 1997, month = {may},	publisher = {Springer Nature}, volume = {110}, number = {4}, pages = {567--575}, author = {Daniel W. Schneider}, title = {Predation and food web structure along a habitat duration gradient}, journal = {Oecologia}},@article{Warren_1989, doi = {10.2307/3565588}, url = {https://doi.org/10.2307%2F3565588}, year = 1989, month = {jul}, publisher = {{JSTOR}}, volume = {55}, number = {3},	pages = {299}, author = {Philip H. Warren}, title = {Spatial and Temporal Variation in the Structure of a Freshwater Food Web}, journal = {Oikos}},from Brose et al 2005 (Harper-Smith et al., in press),from Brose et al 2005 (Warren, unpublished),Harper-Smith, S., E. L. Berlow, R. A. Knapp, R. J. Williams, and N. D. Martinez. In press. Communicating ecology through food webs: Visualizing and quantifying the effects of stocking alpine lakes with fish. in P. De Ruiter, J. C. Moore, and V. Wolters, editors. Dynamic Food Webs: Multispecies assemblages, ecosystem development, and environmental change. Elsevier/Academic Press.,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,Schneider, D.W. (1997). Predation and Food Web Structure along a Habitat Duration Gradient. Oecologia. 110, pp. 567-575. ,source,Warren PH (1989) Spatial and temporal variation in the structure of a freshwater food web. Oikos 55:299-311,Warren, P. H. (1989). Spatial and temporal variation in the structure of a freshwater food web. Oikos, 55, 299�311.,Warren, P. H. 1989. Spatial and Temporal Variation in the Structure of a Fresh-Water Food Web. Oikos 55:299–311.,Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos. 55, pp. 299-311.,Warren, unpublished,Woodward, G., Speirs, D. C., & Hildrew, A. G. (2005). Quantification and resolution of a complex, size-structured food web. Advances in Ecological Research, 36, 85�135. Retrieved from <Go to ISI>://WOS:000229213700002",",10,11,15,23,28,46,47,59,Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 .,https://mangal.io - the ecological interaction database."
"Chironomidae","Dicosmoecus",3488,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,10.66666667,7.071423253,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus","family","family",12,"@article{Schneider_1997, doi = {10.1007/s004420050197}, url = {https://doi.org/10.1007%2Fs004420050197}, year = 1997, month = {may},	publisher = {Springer Nature}, volume = {110}, number = {4}, pages = {567--575}, author = {Daniel W. Schneider}, title = {Predation and food web structure along a habitat duration gradient}, journal = {Oecologia}},@article{Warren_1989, doi = {10.2307/3565588}, url = {https://doi.org/10.2307%2F3565588}, year = 1989, month = {jul}, publisher = {{JSTOR}}, volume = {55}, number = {3},	pages = {299}, author = {Philip H. Warren}, title = {Spatial and Temporal Variation in the Structure of a Freshwater Food Web}, journal = {Oikos}},from Brose et al 2005 (Harper-Smith et al., in press),from Brose et al 2005 (Warren, unpublished),Harper-Smith, S., E. L. Berlow, R. A. Knapp, R. J. Williams, and N. D. Martinez. In press. Communicating ecology through food webs: Visualizing and quantifying the effects of stocking alpine lakes with fish. in P. De Ruiter, J. C. Moore, and V. Wolters, editors. Dynamic Food Webs: Multispecies assemblages, ecosystem development, and environmental change. Elsevier/Academic Press.,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,Schneider, D.W. (1997). Predation and Food Web Structure along a Habitat Duration Gradient. Oecologia. 110, pp. 567-575. ,source,Warren PH (1989) Spatial and temporal variation in the structure of a freshwater food web. Oikos 55:299-311,Warren, P. H. (1989). Spatial and temporal variation in the structure of a freshwater food web. Oikos, 55, 299�311.,Warren, P. H. 1989. Spatial and Temporal Variation in the Structure of a Fresh-Water Food Web. Oikos 55:299–311.,Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos. 55, pp. 299-311.,Warren, unpublished,Woodward, G., Speirs, D. C., & Hildrew, A. G. (2005). Quantification and resolution of a complex, size-structured food web. Advances in Ecological Research, 36, 85�135. Retrieved from <Go to ISI>://WOS:000229213700002",",10,11,15,23,28,46,47,59,Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 .,https://mangal.io - the ecological interaction database."
"Chironomidae","Dicranota",3488,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,21.33333333,0.456662436,"Arthropoda","Insecta","Diptera","Tipulidae","Dicranota","family","exact",103,"@article{Schneider_1997, doi = {10.1007/s004420050197}, url = {https://doi.org/10.1007%2Fs004420050197}, year = 1997, month = {may},	publisher = {Springer Nature}, volume = {110}, number = {4}, pages = {567--575}, author = {Daniel W. Schneider}, title = {Predation and food web structure along a habitat duration gradient}, journal = {Oecologia}},@article{Warren_1989, doi = {10.2307/3565588}, url = {https://doi.org/10.2307%2F3565588}, year = 1989, month = {jul}, publisher = {{JSTOR}}, volume = {55}, number = {3},	pages = {299}, author = {Philip H. Warren}, title = {Spatial and Temporal Variation in the Structure of a Freshwater Food Web}, journal = {Oikos}},from Brose et al 2005 (Harper-Smith et al., in press),from Brose et al 2005 (Warren, unpublished),Harper-Smith, S., E. L. Berlow, R. A. Knapp, R. J. Williams, and N. D. Martinez. In press. Communicating ecology through food webs: Visualizing and quantifying the effects of stocking alpine lakes with fish. in P. De Ruiter, J. C. Moore, and V. Wolters, editors. Dynamic Food Webs: Multispecies assemblages, ecosystem development, and environmental change. Elsevier/Academic Press.,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,Schneider, D.W. (1997). Predation and Food Web Structure along a Habitat Duration Gradient. Oecologia. 110, pp. 567-575. ,source,Warren PH (1989) Spatial and temporal variation in the structure of a freshwater food web. Oikos 55:299-311,Warren, P. H. (1989). Spatial and temporal variation in the structure of a freshwater food web. Oikos, 55, 299�311.,Warren, P. H. 1989. Spatial and Temporal Variation in the Structure of a Fresh-Water Food Web. Oikos 55:299–311.,Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos. 55, pp. 299-311.,Warren, unpublished,Woodward, G., Speirs, D. C., & Hildrew, A. G. (2005). Quantification and resolution of a complex, size-structured food web. Advances in Ecological Research, 36, 85�135. Retrieved from <Go to ISI>://WOS:000229213700002",",10,11,15,23,28,46,47,59,Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 .,https://mangal.io - the ecological interaction database."
"Chironomidae","Doroneuria",3488,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,10.66666667,47.55178364,"Arthropoda","Insecta","Plecoptera","Perlidae","Doroneuria","exact","family",3,"@article{Schneider_1997, doi = {10.1007/s004420050197}, url = {https://doi.org/10.1007%2Fs004420050197}, year = 1997, month = {may},	publisher = {Springer Nature}, volume = {110}, number = {4}, pages = {567--575}, author = {Daniel W. Schneider}, title = {Predation and food web structure along a habitat duration gradient}, journal = {Oecologia}},@article{Warren_1989, doi = {10.2307/3565588}, url = {https://doi.org/10.2307%2F3565588}, year = 1989, month = {jul}, publisher = {{JSTOR}}, volume = {55}, number = {3},	pages = {299}, author = {Philip H. Warren}, title = {Spatial and Temporal Variation in the Structure of a Freshwater Food Web}, journal = {Oikos}},from Brose et al 2005 (Harper-Smith et al., in press),from Brose et al 2005 (Warren, unpublished),Harper-Smith, S., E. L. Berlow, R. A. Knapp, R. J. Williams, and N. D. Martinez. In press. Communicating ecology through food webs: Visualizing and quantifying the effects of stocking alpine lakes with fish. in P. De Ruiter, J. C. Moore, and V. Wolters, editors. Dynamic Food Webs: Multispecies assemblages, ecosystem development, and environmental change. Elsevier/Academic Press.,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,Schneider, D.W. (1997). Predation and Food Web Structure along a Habitat Duration Gradient. Oecologia. 110, pp. 567-575. ,source,Warren PH (1989) Spatial and temporal variation in the structure of a freshwater food web. Oikos 55:299-311,Warren, P. H. (1989). Spatial and temporal variation in the structure of a freshwater food web. Oikos, 55, 299�311.,Warren, P. H. 1989. Spatial and Temporal Variation in the Structure of a Fresh-Water Food Web. Oikos 55:299–311.,Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos. 55, pp. 299-311.,Warren, unpublished,Woodward, G., Speirs, D. C., & Hildrew, A. G. (2005). Quantification and resolution of a complex, size-structured food web. Advances in Ecological Research, 36, 85�135. Retrieved from <Go to ISI>://WOS:000229213700002",",10,11,15,23,28,46,47,59,Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 .,https://mangal.io - the ecological interaction database."
"Chironomidae","Ironodes",3488,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,21.33333333,5.59637151,"Arthropoda","Insecta","Ephemeroptera","Heptageniidae","Ironodes","exact","family",1,"@article{Schneider_1997, doi = {10.1007/s004420050197}, url = {https://doi.org/10.1007%2Fs004420050197}, year = 1997, month = {may},	publisher = {Springer Nature}, volume = {110}, number = {4}, pages = {567--575}, author = {Daniel W. Schneider}, title = {Predation and food web structure along a habitat duration gradient}, journal = {Oecologia}},@article{Warren_1989, doi = {10.2307/3565588}, url = {https://doi.org/10.2307%2F3565588}, year = 1989, month = {jul}, publisher = {{JSTOR}}, volume = {55}, number = {3},	pages = {299}, author = {Philip H. Warren}, title = {Spatial and Temporal Variation in the Structure of a Freshwater Food Web}, journal = {Oikos}},from Brose et al 2005 (Harper-Smith et al., in press),from Brose et al 2005 (Warren, unpublished),Harper-Smith, S., E. L. Berlow, R. A. Knapp, R. J. Williams, and N. D. Martinez. In press. Communicating ecology through food webs: Visualizing and quantifying the effects of stocking alpine lakes with fish. in P. De Ruiter, J. C. Moore, and V. Wolters, editors. Dynamic Food Webs: Multispecies assemblages, ecosystem development, and environmental change. Elsevier/Academic Press.,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,Schneider, D.W. (1997). Predation and Food Web Structure along a Habitat Duration Gradient. Oecologia. 110, pp. 567-575. ,source,Warren PH (1989) Spatial and temporal variation in the structure of a freshwater food web. Oikos 55:299-311,Warren, P. H. (1989). Spatial and temporal variation in the structure of a freshwater food web. Oikos, 55, 299�311.,Warren, P. H. 1989. Spatial and Temporal Variation in the Structure of a Fresh-Water Food Web. Oikos 55:299–311.,Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos. 55, pp. 299-311.,Warren, unpublished,Woodward, G., Speirs, D. C., & Hildrew, A. G. (2005). Quantification and resolution of a complex, size-structured food web. Advances in Ecological Research, 36, 85�135. Retrieved from <Go to ISI>://WOS:000229213700002",",10,11,15,23,28,46,47,59,Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 .,https://mangal.io - the ecological interaction database."
"Chironomidae","Oligochaeta",3488,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,544,0.506640431,"Annelida","Clitellata",,,,"family","exact",21,"@article{Schneider_1997, doi = {10.1007/s004420050197}, url = {https://doi.org/10.1007%2Fs004420050197}, year = 1997, month = {may},	publisher = {Springer Nature}, volume = {110}, number = {4}, pages = {567--575}, author = {Daniel W. Schneider}, title = {Predation and food web structure along a habitat duration gradient}, journal = {Oecologia}},@article{Warren_1989, doi = {10.2307/3565588}, url = {https://doi.org/10.2307%2F3565588}, year = 1989, month = {jul}, publisher = {{JSTOR}}, volume = {55}, number = {3},	pages = {299}, author = {Philip H. Warren}, title = {Spatial and Temporal Variation in the Structure of a Freshwater Food Web}, journal = {Oikos}},from Brose et al 2005 (Harper-Smith et al., in press),from Brose et al 2005 (Warren, unpublished),Harper-Smith, S., E. L. Berlow, R. A. Knapp, R. J. Williams, and N. D. Martinez. In press. Communicating ecology through food webs: Visualizing and quantifying the effects of stocking alpine lakes with fish. in P. De Ruiter, J. C. Moore, and V. Wolters, editors. Dynamic Food Webs: Multispecies assemblages, ecosystem development, and environmental change. Elsevier/Academic Press.,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,Schneider, D.W. (1997). Predation and Food Web Structure along a Habitat Duration Gradient. Oecologia. 110, pp. 567-575. ,source,Warren PH (1989) Spatial and temporal variation in the structure of a freshwater food web. Oikos 55:299-311,Warren, P. H. (1989). Spatial and temporal variation in the structure of a freshwater food web. Oikos, 55, 299�311.,Warren, P. H. 1989. Spatial and Temporal Variation in the Structure of a Fresh-Water Food Web. Oikos 55:299–311.,Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos. 55, pp. 299-311.,Warren, unpublished,Woodward, G., Speirs, D. C., & Hildrew, A. G. (2005). Quantification and resolution of a complex, size-structured food web. Advances in Ecological Research, 36, 85�135. Retrieved from <Go to ISI>://WOS:000229213700002",",10,11,15,23,28,46,47,59,Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 .,https://mangal.io - the ecological interaction database."
"Chironomidae","Rhyacophila",3488,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,10.66666667,5.337910712,"Arthropoda","Insecta","Trichoptera","Rhyacophilidae","Rhyacophila","exact","genus",237,"@article{Schneider_1997, doi = {10.1007/s004420050197}, url = {https://doi.org/10.1007%2Fs004420050197}, year = 1997, month = {may},	publisher = {Springer Nature}, volume = {110}, number = {4}, pages = {567--575}, author = {Daniel W. Schneider}, title = {Predation and food web structure along a habitat duration gradient}, journal = {Oecologia}},@article{Warren_1989, doi = {10.2307/3565588}, url = {https://doi.org/10.2307%2F3565588}, year = 1989, month = {jul}, publisher = {{JSTOR}}, volume = {55}, number = {3},	pages = {299}, author = {Philip H. Warren}, title = {Spatial and Temporal Variation in the Structure of a Freshwater Food Web}, journal = {Oikos}},from Brose et al 2005 (Harper-Smith et al., in press),from Brose et al 2005 (Warren, unpublished),Harper-Smith, S., E. L. Berlow, R. A. Knapp, R. J. Williams, and N. D. Martinez. In press. Communicating ecology through food webs: Visualizing and quantifying the effects of stocking alpine lakes with fish. in P. De Ruiter, J. C. Moore, and V. Wolters, editors. Dynamic Food Webs: Multispecies assemblages, ecosystem development, and environmental change. Elsevier/Academic Press.,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,Schneider, D.W. (1997). Predation and Food Web Structure along a Habitat Duration Gradient. Oecologia. 110, pp. 567-575. ,source,Warren PH (1989) Spatial and temporal variation in the structure of a freshwater food web. Oikos 55:299-311,Warren, P. H. (1989). Spatial and temporal variation in the structure of a freshwater food web. Oikos, 55, 299�311.,Warren, P. H. 1989. Spatial and Temporal Variation in the Structure of a Fresh-Water Food Web. Oikos 55:299–311.,Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos. 55, pp. 299-311.,Warren, unpublished,Woodward, G., Speirs, D. C., & Hildrew, A. G. (2005). Quantification and resolution of a complex, size-structured food web. Advances in Ecological Research, 36, 85�135. Retrieved from <Go to ISI>://WOS:000229213700002",",10,11,15,23,28,46,47,59,Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 .,https://mangal.io - the ecological interaction database."
"Chironomidae","Dytiscidae",3488,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,42.66666667,0.66911638,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","exact","family",62,"@article{Schneider_1997, doi = {10.1007/s004420050197}, url = {https://doi.org/10.1007%2Fs004420050197}, year = 1997, month = {may},	publisher = {Springer Nature}, volume = {110}, number = {4}, pages = {567--575}, author = {Daniel W. Schneider}, title = {Predation and food web structure along a habitat duration gradient}, journal = {Oecologia}},@article{Warren_1989, doi = {10.2307/3565588}, url = {https://doi.org/10.2307%2F3565588}, year = 1989, month = {jul}, publisher = {{JSTOR}}, volume = {55}, number = {3},	pages = {299}, author = {Philip H. Warren}, title = {Spatial and Temporal Variation in the Structure of a Freshwater Food Web}, journal = {Oikos}},from Brose et al 2005 (Harper-Smith et al., in press),from Brose et al 2005 (Warren, unpublished),Harper-Smith, S., E. L. Berlow, R. A. Knapp, R. J. Williams, and N. D. Martinez. In press. Communicating ecology through food webs: Visualizing and quantifying the effects of stocking alpine lakes with fish. in P. De Ruiter, J. C. Moore, and V. Wolters, editors. Dynamic Food Webs: Multispecies assemblages, ecosystem development, and environmental change. Elsevier/Academic Press.,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,Schneider, D.W. (1997). Predation and Food Web Structure along a Habitat Duration Gradient. Oecologia. 110, pp. 567-575. ,source,Warren PH (1989) Spatial and temporal variation in the structure of a freshwater food web. Oikos 55:299-311,Warren, P. H. (1989). Spatial and temporal variation in the structure of a freshwater food web. Oikos, 55, 299�311.,Warren, P. H. 1989. Spatial and Temporal Variation in the Structure of a Fresh-Water Food Web. Oikos 55:299–311.,Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos. 55, pp. 299-311.,Warren, unpublished,Woodward, G., Speirs, D. C., & Hildrew, A. G. (2005). Quantification and resolution of a complex, size-structured food web. Advances in Ecological Research, 36, 85�135. Retrieved from <Go to ISI>://WOS:000229213700002",",10,11,15,23,28,46,47,59,Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 .,https://mangal.io - the ecological interaction database."
"Chironomidae","Simulium",3488,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,128,0.357951466,"Arthropoda","Insecta","Diptera","Simuliidae","Simulium","exact","exact",5,"@article{Schneider_1997, doi = {10.1007/s004420050197}, url = {https://doi.org/10.1007%2Fs004420050197}, year = 1997, month = {may},	publisher = {Springer Nature}, volume = {110}, number = {4}, pages = {567--575}, author = {Daniel W. Schneider}, title = {Predation and food web structure along a habitat duration gradient}, journal = {Oecologia}},@article{Warren_1989, doi = {10.2307/3565588}, url = {https://doi.org/10.2307%2F3565588}, year = 1989, month = {jul}, publisher = {{JSTOR}}, volume = {55}, number = {3},	pages = {299}, author = {Philip H. Warren}, title = {Spatial and Temporal Variation in the Structure of a Freshwater Food Web}, journal = {Oikos}},from Brose et al 2005 (Harper-Smith et al., in press),from Brose et al 2005 (Warren, unpublished),Harper-Smith, S., E. L. Berlow, R. A. Knapp, R. J. Williams, and N. D. Martinez. In press. Communicating ecology through food webs: Visualizing and quantifying the effects of stocking alpine lakes with fish. in P. De Ruiter, J. C. Moore, and V. Wolters, editors. Dynamic Food Webs: Multispecies assemblages, ecosystem development, and environmental change. Elsevier/Academic Press.,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,Schneider, D.W. (1997). Predation and Food Web Structure along a Habitat Duration Gradient. Oecologia. 110, pp. 567-575. ,source,Warren PH (1989) Spatial and temporal variation in the structure of a freshwater food web. Oikos 55:299-311,Warren, P. H. (1989). Spatial and temporal variation in the structure of a freshwater food web. Oikos, 55, 299�311.,Warren, P. H. 1989. Spatial and Temporal Variation in the Structure of a Fresh-Water Food Web. Oikos 55:299–311.,Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos. 55, pp. 299-311.,Warren, unpublished,Woodward, G., Speirs, D. C., & Hildrew, A. G. (2005). Quantification and resolution of a complex, size-structured food web. Advances in Ecological Research, 36, 85�135. Retrieved from <Go to ISI>://WOS:000229213700002",",10,11,15,23,28,46,47,59,Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 .,https://mangal.io - the ecological interaction database."
"Dicosmoecus","Chironomidae",10.66666667,7.071423253,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus",3488,0.95630662,"Arthropoda","Insecta","Diptera","Chironomidae",,"family","family",1,"@article{Schneider_1997, doi = {10.1007/s004420050197}, url = {https://doi.org/10.1007%2Fs004420050197}, year = 1997, month = {may},	publisher = {Springer Nature}, volume = {110}, number = {4}, pages = {567--575}, author = {Daniel W. Schneider}, title = {Predation and food web structure along a habitat duration gradient}, journal = {Oecologia}},@article{Warren_1989, doi = {10.2307/3565588}, url = {https://doi.org/10.2307%2F3565588}, year = 1989, month = {jul}, publisher = {{JSTOR}}, volume = {55}, number = {3},	pages = {299}, author = {Philip H. Warren}, title = {Spatial and Temporal Variation in the Structure of a Freshwater Food Web}, journal = {Oikos}},from Brose et al 2005 (Harper-Smith et al., in press),from Brose et al 2005 (Warren, unpublished),Harper-Smith, S., E. L. Berlow, R. A. Knapp, R. J. Williams, and N. D. Martinez. In press. Communicating ecology through food webs: Visualizing and quantifying the effects of stocking alpine lakes with fish. in P. De Ruiter, J. C. Moore, and V. Wolters, editors. Dynamic Food Webs: Multispecies assemblages, ecosystem development, and environmental change. Elsevier/Academic Press.,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,Schneider, D.W. (1997). Predation and Food Web Structure along a Habitat Duration Gradient. Oecologia. 110, pp. 567-575. ,source,Warren PH (1989) Spatial and temporal variation in the structure of a freshwater food web. Oikos 55:299-311,Warren, P. H. (1989). Spatial and temporal variation in the structure of a freshwater food web. Oikos, 55, 299�311.,Warren, P. H. 1989. Spatial and Temporal Variation in the Structure of a Fresh-Water Food Web. Oikos 55:299–311.,Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos. 55, pp. 299-311.,Warren, unpublished,Woodward, G., Speirs, D. C., & Hildrew, A. G. (2005). Quantification and resolution of a complex, size-structured food web. Advances in Ecological Research, 36, 85�135. Retrieved from <Go to ISI>://WOS:000229213700002",",10,11,15,23,28,46,47,59,Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 .,https://mangal.io - the ecological interaction database."
"Dicosmoecus","Dytiscidae",10.66666667,7.071423253,"Arthropoda","Insecta","Trichoptera","Limnephilidae","Dicosmoecus",42.66666667,0.66911638,"Arthropoda","Insecta","Coleoptera","Dytiscidae","Sanfilippodytes","family","family",26,"@article{Schneider_1997, doi = {10.1007/s004420050197}, url = {https://doi.org/10.1007%2Fs004420050197}, year = 1997, month = {may},	publisher = {Springer Nature}, volume = {110}, number = {4}, pages = {567--575}, author = {Daniel W. Schneider}, title = {Predation and food web structure along a habitat duration gradient}, journal = {Oecologia}},@article{Warren_1989, doi = {10.2307/3565588}, url = {https://doi.org/10.2307%2F3565588}, year = 1989, month = {jul}, publisher = {{JSTOR}}, volume = {55}, number = {3},	pages = {299}, author = {Philip H. Warren}, title = {Spatial and Temporal Variation in the Structure of a Freshwater Food Web}, journal = {Oikos}},from Brose et al 2005 (Harper-Smith et al., in press),from Brose et al 2005 (Warren, unpublished),Harper-Smith, S., E. L. Berlow, R. A. Knapp, R. J. Williams, and N. D. Martinez. In press. Communicating ecology through food webs: Visualizing and quantifying the effects of stocking alpine lakes with fish. in P. De Ruiter, J. C. Moore, and V. Wolters, editors. Dynamic Food Webs: Multispecies assemblages, ecosystem development, and environmental change. Elsevier/Academic Press.,observed,observed - feeding trial,observed - field; gut/stomach analysis,observed - field; gut/stomach analysis; published account,observed - gut/stomach analysis,Schneider, D.W. (1997). Predation and Food Web Structure along a Habitat Duration Gradient. Oecologia. 110, pp. 567-575. ,source,Warren PH (1989) Spatial and temporal variation in the structure of a freshwater food web. Oikos 55:299-311,Warren, P. H. (1989). Spatial and temporal variation in the structure of a freshwater food web. Oikos, 55, 299�311.,Warren, P. H. 1989. Spatial and Temporal Variation in the Structure of a Fresh-Water Food Web. Oikos 55:299–311.,Warren, P.H. (1989) Spatial and Temporal Variation in the Structure of a Freshwater Food Web. Oikos. 55, pp. 299-311.,Warren, unpublished,Woodward, G., Speirs, D. C., & Hildrew, A. G. (2005). Quantification and resolution of a complex, size-structured food web. Advances in Ecological Research, 36, 85�135. Retrieved from <Go to ISI>://WOS:000229213700002",",10,11,15,23,28,46,47,59,Brose, U. et al., 2005. Body sizes of consumers and their resources. Ecology 86:2545. Available from doi:10.1890/05-0379 .,https://mangal.io - the ecological interaction database."
